Date : 2024-03-28 11:48:02
Directory : /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend
Total : 85 files,  4589 codes, 485 comments, 617 blanks, all 5691 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711220671937_users_notifications_add_col_overtime_request_id.js   | JavaScript         |          9 |          0 |          0 |          9 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711220677975_users_notifications_add_fk_overtime_request_id.js    | JavaScript         |         12 |          0 |          0 |         12 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/migrations/1711222542015_seed_users_shifts.js                                 | JavaScript         |         24 |          0 |          1 |         25 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/mysql.js                                                                      | JavaScript         |          6 |          0 |          2 |          8 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/nodemon.json                                                                  | JSON               |          6 |          0 |          0 |          6 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/package-lock.json                                                             | JSON               |      1,897 |          0 |          1 |      1,898 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/package.json                                                                  | JSON               |         37 |          0 |          1 |         38 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/attendance.js                                                          | JavaScript         |         18 |          0 |          4 |         22 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/auth.js                                                                | JavaScript         |          7 |          2 |          3 |         12 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/department.js                                                          | JavaScript         |         13 |          6 |          5 |         24 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/designation.js                                                         | JavaScript         |         14 |          6 |          5 |         25 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/holidays.js                                                            | JavaScript         |         14 |         10 |          8 |         32 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/leaves.js                                                              | JavaScript         |         21 |          7 |         12 |         40 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/notifications.js                                                       | JavaScript         |          9 |          3 |          4 |         16 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/overtime.js                                                            | JavaScript         |         18 |          0 |          4 |         22 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/shift.js                                                               | JavaScript         |         14 |          0 |          4 |         18 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/statistics.js                                                          | JavaScript         |          8 |          7 |          6 |         21 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/routes/user.js                                                                | JavaScript         |         24 |          6 |         12 |         42 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/services/fileHandling.js                                                      | JavaScript         |         54 |         29 |          7 |         90 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/tsconfig.json                                                                 | JSON with Comments |         15 |         87 |          9 |        111 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/utils/date.ts                                                                 | TypeScript         |         24 |          2 |         13 |         39 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/utils/datefns-fast-wrapper.ts                                                 | TypeScript         |          4 |          0 |          4 |          8 |
| /Users/tha/Desktop/uni/uog/Project/GIT/Code/backend/utils/filteredObject.ts                                                       | TypeScript         |         12 |         14 |          4 |         30 |
| Total                                                                                                                             |                    |      4,589 |        485 |        617 |      5,691 |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
