"filename", "language", "TypeScript", "HTML", "JSON", "JavaScript JSX", "CSS", "XML", "JavaScript", "JSON with Comments", "Markdown", "comment", "blank", "total"
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/style/tailwind.input.css", "CSS", 0, 0, 0, 0, 113, 0, 0, 0, 0, 1, 18, 132
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/types/nullish.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/types/svg.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/breakTime.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 12
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/capitalized.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/fast-date-fns.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/fullname.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/position.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/runAsyncWithAborter.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/scheduleDisplayText.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 22
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/sleep.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/utils/timeDisplayText.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 32
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/src/vite.env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 118, 0, 0, 5, 19, 142
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 4, 36
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/tsconfig.node.json", "JSON", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/Users/tha/Desktop/uni/uog/Project/GIT/Code/frontend/vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 987, 15, 5267, 4155, 2140, 123, 139, 27, 5, 792, 1294, 14944
